codigo;denominacion;municipio;comarca;provincia;regimen;lat;lon;materia_confirmada;fuente;fecha_consulta
03001908;IES FIGUERAS PACHECO;ALACANT;L'ALACANTÍ;ALICANTE/ALACANT;Público;38.340419;-0.511393;;API xacen (Guía de Centros GVA);2026-05-22
03001891;IES MIGUEL HERNÁNDEZ;ALACANT;L'ALACANTÍ;ALICANTE/ALACANT;Público;38.350607;-0.495388;;API xacen (Guía de Centros GVA);2026-05-22
03010119;IES VIRGEN DEL REMEDIO;ALACANT;L'ALACANTÍ;ALICANTE/ALACANT;Público;38.376725;-0.490184;;API xacen (Guía de Centros GVA);2026-05-22
03013297;IES 8 DE MARZO;ALACANT;L'ALACANTÍ;ALICANTE/ALACANT;Público;38.360857;-0.503013;;API xacen (Guía de Centros GVA);2026-05-22
03010727;IES ANDREU SEMPERE;ALCOI;L'ALCOIÀ;ALICANTE/ALACANT;Público;38.703348;-0.482572;;API xacen (Guía de Centros GVA);2026-05-22
46001217;IES BERNAT GUINOVART;ALGEMESÍ;LA RIBERA ALTA;VALENCIA/VALÈNCIA;Público;39.195137;-0.425055;;API xacen (Guía de Centros GVA);2026-05-22
03002573;IES BELLAGUARDA;ALTEA;LA MARINA BAIXA;ALICANTE/ALACANT;Público;38.604698;-0.045746;;API xacen (Guía de Centros GVA);2026-05-22
46000717;IES JOSÉ MARÍA PARRA;ALZIRA;LA RIBERA ALTA;VALENCIA/VALÈNCIA;Público;39.156879;-0.428537;;API xacen (Guía de Centros GVA);2026-05-22
12003390;IES JOAN COROMINES;BENICARLÓ;EL BAIX MAESTRAT;CASTELLÓN/CASTELLÓ;Público;40.41428;0.426943;;API xacen (Guía de Centros GVA);2026-05-22
03013716;IES IFACH;CALP;LA MARINA ALTA;ALICANTE/ALACANT;Público;38.646858;0.048891;;API xacen (Guía de Centros GVA);2026-05-22
46021629;IES ARABISTA RIBERA;CARCAIXENT;LA RIBERA ALTA;VALENCIA/VALÈNCIA;Público;39.124463;-0.436422;;API xacen (Guía de Centros GVA);2026-05-22
12005738;IES LA PLANA;CASTELLÓ DE LA PLANA;LA PLANA ALTA;CASTELLÓN/CASTELLÓ;Público;39.994137;-0.032482;;API xacen (Guía de Centros GVA);2026-05-22
12003523;IES VICENT SOS BAYNAT;CASTELLÓ DE LA PLANA;LA PLANA ALTA;CASTELLÓN/CASTELLÓ;Público;39.986056;-0.029901;;API xacen (Guía de Centros GVA);2026-05-22
46002969;IES BERENGUER DALMAU;CATARROJA;L'HORTA SUD;VALENCIA/VALÈNCIA;Público;39.409373;-0.403498;;API xacen (Guía de Centros GVA);2026-05-22
46020492;IES JOAN LLOPIS MARÍ;CULLERA;LA RIBERA BAIXA;VALENCIA/VALÈNCIA;Público;39.160481;-0.257846;;API xacen (Guía de Centros GVA);2026-05-22
03004223;IES HISTORIADOR CHABÀS;DÉNIA;LA MARINA ALTA;ALICANTE/ALACANT;Público;38.830815;0.099419;;API xacen (Guía de Centros GVA);2026-05-22
03005768;IES LA TORRETA;ELDA;EL VINALOPÓ MITJÀ/EL VINALOPÓ MEDIO;ALICANTE/ALACANT;Público;38.466565;-0.791777;;API xacen (Guía de Centros GVA);2026-05-22
03014538;IES MISTERI D'ELX;ELX;EL BAIX VINALOPÓ;ALICANTE/ALACANT;Público;38.273324;-0.689698;;API xacen (Guía de Centros GVA);2026-05-22
46004221;IES MARIA ENRÍQUEZ;GANDIA;LA SAFOR;VALENCIA/VALÈNCIA;Público;38.960043;-0.181972;;API xacen (Guía de Centros GVA);2026-05-22
