codigo,denominacion_generica_es,denominacion_generica_val,denominacion_especifica,denominacion,regimen,tipo_via,direccion,numero,codigo_postal,localidad,provincia,telefono,fax,cod_edificacion,longitud,latitud,titular,cif,comarca,url_es,url_va,fe_constitucion
3010739,CONSERVATORIO SUPERIOR DE MÚSICA,CONSERVATORI SUPERIOR DE MÚSICA,CONSERVATORI SUPERIOR DE MÚSICA  ÓSCAR ESPLÁ,CONSERVATORI SUPERIOR DE MÚSICA  ÓSCAR ESPLÁ,PÚB.,CARRER,CATEDRÀTIC JAUME MAS I PORCEL,2,3005,ALACANT,ALICANTE/ALACANT,966478665.0,,1,-0.492883,38.352663,GENERALITAT VALENCIANA,Q5355122B,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03010739,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03010739,
3011094,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,PÚB.,AVINGUDA,DEL FERROCARRIL,S/N,3202,ELX,ALICANTE/ALACANT,966912325.0,,1,-0.692967,38.27343,GENERALITAT VALENCIANA,Q5355614H,EL BAIX VINALOPÓ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011094,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011094,
3011100,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,PÚB.,CARRER,RAFAEL ECHAGÜE,5,3730,XÀBIA,ALICANTE/ALACANT,965796036.0,,1,0.159028,38.789708,AJUNTAMENT DE XÀBIA,G03211745,LA MARINA ALTA,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011100,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011100,
3011112,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORIO PROFESIONAL DE MÚSICA ANA MARÍA SÁNCHEZ,CONSERVATORIO PROFESIONAL DE MÚSICA ANA MARÍA SÁNCHEZ,PÚB.,AVINGUDA,RONDA,109,3600,ELDA,ALICANTE/ALACANT,966957685.0,,1,-0.790662,38.461919,GENERALITAT VALENCIANA,Q5355609H,EL VINALOPÓ MITJÀ/EL VINALOPÓ MEDIO,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011112,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011112,
3011148,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORIO PROFESIONAL DE MÚSICA,PÚB.,PLAÇA,S. SEBASTIÁN-AV. DUQUE TAMAMES-CL.ARAGÓN,1-A,3300,ORIHUELA,ALICANTE/ALACANT,965300943.0,966744454.0,1,-0.947195,38.081925,AYUNTAMIENTO DE ORIHUELA,P0309900I,EL BAIX SEGURA/LA VEGA BAJA,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011148,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011148,
3011343,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ,CONSERVATORI PROFESSIONAL DE MÚSICA JUAN CANTÓ,PÚB.,CARRER,JUAN CANTÓ,2,3801,ALCOI,ALICANTE/ALACANT,965541128.0,965547086.0,1,-0.476822,38.695475,AJUNTAMENT D'ALCOI,P0300900H,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011343,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011343,
3011434,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA J. PÉREZ BARCELÓ,CONSERVATORI PROFESSIONAL DE MÚSICA J. PÉREZ BARCELÓ,PÚB.,AVINGUDA,DE L'AIGÜERA,10,3502,BENIDORM,ALICANTE/ALACANT,966806795.0,966805004.0,1,-0.131184,38.544933,AJUNTAMENT DE BENIDORM,P0303100B,LA MARINA BAIXA,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011434,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011434,
3011446,ESCUELA PÚBLICA DE MÚSICA Y DANZA,ESCOLA PÚBLICA DE MÚSICA I DANSA,E. DE MÚSICA I DANSA MUNICIPAL,E. DE MÚSICA I DANSA MUNICIPAL,PÚB.,AVINGUDA,PAÍS VALENCIÀ,188,3720,BENISSA,ALICANTE/ALACANT,965732226.0,965730187.0,1,0.045292,38.714286,AJUNTAMENT DE BENISSA,P0304100A,LA MARINA ALTA,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011446,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011446,
3011458,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA TENOR CORTIS,CONSERVATORI PROFESSIONAL DE MÚSICA TENOR CORTIS,PÚB.,CARRER,TEMPLE SANT TELM,9,3700,DÉNIA,ALICANTE/ALACANT,966429625.0,,1,0.10989,38.842603,GENERALITAT VALENCIANA,Q5355588D,LA MARINA ALTA,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011458,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011458,
3011461,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA RAFAEL R. ALBERT,CONSERVATORI PROFESSIONAL DE MÚSICA RAFAEL R. ALBERT,PÚB.,CARRER,FRANCISCO MARTÍNEZ ORTIZ,S/N,3110,MUTXAMEL,ALICANTE/ALACANT,965950415.0,965955699.0,1,-0.445059,38.415455,AJUNTAMENT DE MUTXAMEL,P0309000H,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011461,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011461,
3011471,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA MESTRE GOMIS,CONSERVATORI PROFESSIONAL DE MÚSICA MESTRE GOMIS,PÚB.,CARRER,HERNÁN CORTÉS,24,3660,NOVELDA,ALICANTE/ALACANT,965602070.0,965602070.0,1,-0.767793,38.38519,AJUNTAMENT DE NOVELDA,P0309300B,EL VINALOPÓ MITJÀ/EL VINALOPÓ MEDIO,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011471,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011471,
3011483,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORI PROFESSIONAL DE MÚSICA,CONSERVATORIO PROFESIONAL DE MÚSICA,CONSERVATORIO PROFESIONAL DE MÚSICA,PÚB.,PLAÇA,SANTIAGO,2,3400,VILLENA,ALICANTE/ALACANT,965801150.0,,1,-0.863205,38.631589,AYUNTAMIENTO DE VILLENA,G03203866,L'ALT VINALOPÓ/EL ALTO VINALOPÓ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03011483,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03011483,
