codine,nombre,provincia,pop,cobertura
46213,Requena,Valencia,20254,30min
46044,Ayora,Valencia,5312,60min
12080,Morella,Castellón,2430,fora
03099,Orihuela,Alicante,77414,30min
03140,Villena,Alicante,33964,30min
03065,Elche,Alicante,232517,30min
46254,Venta del ,Valencia,1207,30min
46118,Enguera,Valencia,4752,60min
46249,Utiel,Valencia,11531,30min
46099,Cortes de ,Valencia,814,fora
46147,Llíria,Valencia,23253,30min
03014,Alicante,Alicante,334887,30min
46106,Chelva,Valencia,1489,fora
46111,Chiva,Valencia,15123,30min
12004,Alcalà de ,Castellón,6680,30min
03082,Jijona,Alicante,27604,30min
12139,Vistabella,Castellón,339,fora
03089,Monóvar,Alicante,12167,30min
46170,Mogente,Valencia,4302,60min
46038,Andilla,Valencia,319,60min
46036,Alpuente,Valencia,633,60min
12093,La Pobla d,Castellón,202,fora
12050,Les Coves ,Castellón,1823,60min
12072,Lucena del,Castellón,1302,60min
46071,Bicorp,Valencia,533,60min
12033,Cabanes,Castellón,2958,60min
46250,Valencia,Valencia,794288,30min
46220,Sagunto,Valencia,66140,30min
12012,Altura,Castellón,3528,30min
03009,Alcoy,Alicante,58994,30min
46246,Tous,Valencia,1263,fora
03105,Pinoso,Alicante,7966,60min
46184,Ontinyent,Valencia,35347,30min
46247,Tuéjar,Valencia,1116,60min
46115,Dos Aguas,Valencia,376,60min
12014,Ares del M,Castellón,186,fora
46261,Yátova,Valencia,2067,60min
12051,Culla,Castellón,495,60min
03053,Castalla,Alicante,10124,30min
46077,Buñol,Valencia,9408,30min
12115,El Toro,Castellón,256,60min
46229,Siete Agua,Valencia,1154,30min
46239,Teresa de ,Valencia,636,fora
12040,Castellón ,Castellón,171728,30min
46017,Alzira,Valencia,44352,30min
12130,Villahermo,Castellón,489,fora
46092,Castielfab,Valencia,317,fora
12084,Onda,Castellón,24859,30min
12104,Segorbe,Castellón,8978,30min
46167,Millares,Valencia,345,60min
12042,Catí,Castellón,721,60min
03104,Petrer,Alicante,34276,30min
46144,Jarafuel,Valencia,754,60min
46097,Cofrentes,Valencia,1130,60min
03059,Crevillent,Alicante,28952,30min
46232,Sinarcas,Valencia,1125,60min
46001,Ademuz,Valencia,1042,fora
03043,Biar,Alicante,3671,30min
12138,Vinaròs,Castellón,28682,30min
46072,Bocairent,Valencia,4195,30min
12005,L'Alcora,Castellón,10405,30min
12129,Villafranc,Castellón,2200,fora
12044,Cervera de,Castellón,575,30min
46142,Jalance,Valencia,830,60min
12127,Vallibona,Castellón,69,fora
46235,Sueca,Valencia,27479,30min
46080,Camporrobl,Valencia,1191,60min
46194,Picassent,Valencia,20942,30min
46262,La Yesa,Valencia,229,60min
46128,La Font de,Valencia,2038,60min
12052,Chert,Castellón,701,60min
12003,Albocàsser,Castellón,1241,60min
12105,Sierra Eng,Castellón,976,60min
12048,Cortes de ,Castellón,318,fora
12122,Les Useras,Castellón,962,60min
12026,Benasal,Castellón,1068,fora
12089,Peñíscola,Castellón,7612,60min
46248,Turís,Valencia,6646,30min
12071,Jérica,Castellón,1548,30min
03088,Monforte d,Alicante,8165,30min
46041,Aras de lo,Valencia,381,fora
12096,Rossell,Castellón,937,60min
03112,Relleu,Alicante,1160,60min
46145,Xàtiva,Valencia,29231,30min
