any,nom,cif,quantia,tipus_subvencio
2024,XALÓ MUNICIPAL XALO AJUNTAMENT,P0308100G,38267.68,A_escoles_no_formals
2024,GORGOS GATA MUNICIPAL AJUNTAMENT,P0307100H,26489.95,A_escoles_no_formals
2024,BENIMELI MUNICIPAL AYUNTAMIENTO,P0304000C,45020.05,A_escoles_no_formals
2024,"LOS MONTESINOS, MUNICIPAL MONTESINOS AYUNTAMIENTO",P0314100I,47315.52,A_escoles_no_formals
2024,SALINAS MUNICIPAL AYUNTAMIENTO,P0311600A,24139.81,A_escoles_no_formals
2024,ORBA MUNICIPAL D'ORBA AJUNTAMENT,P0309700C,41831.38,A_escoles_no_formals
2024,BENIT NOU POBLE MUNICIPAL BENITATXELL AYUNTAMIENTO,P0304200I,67163.93,A_escoles_no_formals
2024,BENISSA MUNICIPAL AYUNTAMIENTO,P0304100A,101203.54,A_escoles_no_formals
2024,PEDREGUER MUNICIPAL AJUNTAMENT,P0310100C,89246.98,A_escoles_no_formals
2024,BORRIANA RUBERT PASCUAL MUNICIPAL VICIAN MARTI RAFEL LES CENTRE,Q1200347A,109347.95,A_escoles_no_formals
2024,MORELLA MUNICIPAL PATRONATO,P1200016B,57943.42,A_escoles_no_formals
2024,ALMEDIJAR MUNICIPAL AYUNTAMIENTO,P1201000E,9136.23,A_escoles_no_formals
2024,SONEJA PALANCIA ALTO DEL COMARCAL INTERMUNICIPAL MANCOMUNIDAD,P1200010E,68440.62,A_escoles_no_formals
2024,MALFERIT AIELO MUNICIPAL D'AIELO AJUNTAMENT,P4604200H,39007.82,A_escoles_no_formals
2024,MASSAMAGRELL MUNICIPAL AYUNTAMIENTO,P4616600E,39451.53,A_escoles_no_formals
2024,ADEMUZ MUSICAL SOCIEDAD,G97499198,16611.22,A_escoles_no_formals
2024,ADOR CECILIA SANTA MUSICAL AGRUPACIO,G46168530,17456.04,A_escoles_no_formals
2024,AGOST PAU VERGE,G03984846,15128.68,A_escoles_no_formals
2024,AGOST CECILIA SANTA,G03980810,23283.91,A_escoles_no_formals
2024,AGULLENT SIRVENT AMORÓS AMANCIO D'AGULLENT MUSICAL AGRUPACIO,G46354486,15667.86,A_escoles_no_formals
2024,ALACANT CAROLINAS S.C.D. EDUCANDOS DEPORTIVA CULTURAL SOCIEDAD,G03067550,13952.88,A_escoles_no_formals
2024,ALACANT L'HARMONIA MUSICAL SOCIETAT,G54038773,27423.83,A_escoles_no_formals
