any,nom,cif,quantia,tipus_subvencio
2024,"537.990,30 ORIHUELA AYUNTAMIENTO",P0309900I,537990.3,B_conservatoris_centres_autoritzats
2024,"363.622,85 TORREVIEJA AYUNTAMIENTO",P0313300F,363622.85,B_conservatoris_centres_autoritzats
2024,"260.779,33 BENIDORM AYUNTAMIENTO",P0303100B,260779.33,B_conservatoris_centres_autoritzats
2024,"203.903,23 NOVELDA AJUNTAMENT",P0309300B,203903.23,B_conservatoris_centres_autoritzats
2024,"349.283,76 XÀBIA AJUNTAMENT",P0308200E,349283.76,B_conservatoris_centres_autoritzats
2024,"1.242,00 D'ALACANT JOAN SANT PAZ MUSICAL SOCIEDAD",G03165875,1242.0,B_conservatoris_centres_autoritzats
2024,"79.797,54 CATRAL CONSTANCIA MUSICAL UNION SOCIEDAD",G03111986,79797.54,B_conservatoris_centres_autoritzats
2024,"378.407,90 ALMORADI AYUNTAMIENTO",P0301500E,378407.9,B_conservatoris_centres_autoritzats
2024,"330.073,50 RASPEIG DEL VICENTE SAN AYUNTAMIENTO",P0312200I,330073.5,B_conservatoris_centres_autoritzats
2024,"239.133,48 MUTXAMEL AYUNTAMIENTO",P0309000H,239133.48,B_conservatoris_centres_autoritzats
2024,"455.832,12 VILLENA AYUNTAMIENTO",P0314000A,455832.12,B_conservatoris_centres_autoritzats
2024,"429.143,58 ALCOY AYUNTAMIENTO",P0300900H,429143.58,B_conservatoris_centres_autoritzats
2024,"249.184,57 HORADADA PILAR AYUNTAMIENTO",P0314200G,249184.57,B_conservatoris_centres_autoritzats
2024,"171.314,39 TEULADA AYUNTAMIENTO",P0312800F,171314.39,B_conservatoris_centres_autoritzats
2024,"110.030,22 GOTERRIS MESTRE CEAM",G12097028,110030.22,B_conservatoris_centres_autoritzats
2024,"337.997,73 SEGORBE AYUNTAMIENTO",P1210400F,337997.73,B_conservatoris_centres_autoritzats
2024,"85.451,37 ONDA CECILIA SANTA MUSICAL UNION",G12039145,85451.37,B_conservatoris_centres_autoritzats
2024,"32.248,29 LANDRIANI ESCOLAPIA COMUNIDAD CASA",R4600418J,32248.29,B_conservatoris_centres_autoritzats
2024,"58.598,00 CULL CECILIA SANTA INSTRUCTIVA MUSICAL SOCIEDAD",G46150793,58598.0,B_conservatoris_centres_autoritzats
2024,"106.100,00 MUSICAL UNION CULTURAL INSTRUCTIVO CENTRO",G46084679,106100.0,B_conservatoris_centres_autoritzats
2024,"91.831,92 GANDIA GRAU D.M. ESCOLA ASSOCIACIO",G96343223,91831.92,B_conservatoris_centres_autoritzats
2024,"493.738,09 TÚRIA RIBA-ROJA AYUNTAMIENTO",P4621600H,493738.09,B_conservatoris_centres_autoritzats
2024,"264.792,91 MONCADA AYUNTAMIENTO",P4617300A,264792.91,B_conservatoris_centres_autoritzats
2024,"2.827,27 ALSINA CENTRO MUSICAL ASOC",G96798533,2827.27,B_conservatoris_centres_autoritzats
2024,"27.682,00 BENIFAIO MUSICAL ARTISTICO SOCIETAT",G46065678,27682.0,B_conservatoris_centres_autoritzats
2024,"16.549,78 SAGUNTO BACH SEBASTIAN JUAN CULTURAL ASOCIACIÓN",G09689241,16549.78,B_conservatoris_centres_autoritzats
2024,"39.850,00 MUSI D'ENSENYAMENTS PROFESSIONAL",G97110092,39850.0,B_conservatoris_centres_autoritzats
2024,"74.289,45 ATENEO PROFESIONALES ENSEÑANZA CENTRO",G98292097,74289.45,B_conservatoris_centres_autoritzats
2024,"21.407,10 JOVEN ASOCIACION",G96330444,21407.1,B_conservatoris_centres_autoritzats
2024,"186.975,80 D'ALBAIDA AJUNTAMENT",P4600600C,186975.8,B_conservatoris_centres_autoritzats
2024,"95.107,96 SERRANO JOSE ESCUELA",G96444260,95107.96,B_conservatoris_centres_autoritzats
2024,"212.787,98 BUÑOL AYUNTAMIENTO",P4607900J,212787.98,B_conservatoris_centres_autoritzats
2024,"17.500,00 INMACULADA FRANCISCANAS EDUCATIVA FUNDACION",R2802525B,17500.0,B_conservatoris_centres_autoritzats
2024,"184.384,23 GODELLA AJUNTAMENT",P4613700F,184384.23,B_conservatoris_centres_autoritzats
2024,"434.529,31 VALÈNCIA AJUNTAMENT",P4625200C,434529.31,B_conservatoris_centres_autoritzats
2024,"57.980,41 POBL QUART MUSICALS D'ASSOCIACIONS FEDERACIO",G97260855,57980.41,B_conservatoris_centres_autoritzats
2024,"95.771,91 L'ALCUDIA ESCOLA",G96413349,95771.91,B_conservatoris_centres_autoritzats
2024,"41.566,00 MUSICAL UNIO INSTRUCTIVA SOCIETAT ESCOLA",G96365994,41566.0,B_conservatoris_centres_autoritzats
2024,"327.672,22 SILLA AYUNTAMIENTO",P4623200E,327672.22,B_conservatoris_centres_autoritzats
