any,cif,nom,quantia,tipus_subvencio
2022,P0304000C,"48.199,46 BENIMELI BENIMELI AJUNTAMENT",48199.46,A_escoles_no_formals
2022,P0304100A,"84.622,91 BENISSA BENISSA AJUNTAMENT",84622.91,A_escoles_no_formals
2022,P0304200I,"74.141,81 BENIT NOU BENITACHELL/POBLE BENITACHELL AYUNTAMIENTO",74141.81,A_escoles_no_formals
2022,P0307100H,"41.886,06 GORGOS GATA GORGOS GATA AJUNTAMENT",41886.06,A_escoles_no_formals
2022,P0314100I,"62.309,47 MONTESINOS, MONTESINOS AYUNTAMIENTO",62309.47,A_escoles_no_formals
2022,P0309700C,"46.933,31 ORBA ORBA AYUNTAMIENTO",46933.31,A_escoles_no_formals
2022,P0310100C,"89.916,76 PEDREGUER PEDREGUER AYUNTAMIENTO",89916.76,A_escoles_no_formals
2022,P0311600A,"30.473,13 SALINAS SALINAS AYUNTAMIENTO",30473.13,A_escoles_no_formals
2022,P0308100G,"38.863,76 XALÓ XALO AJUNTAMENT",38863.76,A_escoles_no_formals
2022,P1201000E,"12.616,67 ALMEDIJAR ALMEDIJAR AYUNTAMIENTO",12616.67,A_escoles_no_formals
2022,Q1200347A,"100.183,04 BURRIANA RUBERT PASCUAL VICIAN MARTI RAFEL ARTS CENTRE",100183.04,A_escoles_no_formals
2022,P1200016B,"41.935,14 MORELLA PATRONATO",41935.14,A_escoles_no_formals
2022,P1200010E,"73.487,87 SONEJA PALANCIA ALTO DEL COMARCAL PALANCIA ALTO DEL INTERMUNICIPAL MANCOMUNIDAD",73487.87,A_escoles_no_formals
2022,P4604200H,"35.910,88 MALFERIT AIELO MALFERIT D'AIELO AJUNTAMENT",35910.88,A_escoles_no_formals
2022,P4615000I,"19.827,60 LORIGUILLA BAUTISTA JUAN SAN LORIGUILLA AYUNTAMIENTO",19827.6,A_escoles_no_formals
2022,P4616600E,"51.593,19 MASSAMAGRELL MASSAMAGRELL AJUNTAMENT",51593.19,A_escoles_no_formals
2024,P0308100G,"38.267,68 XALÓ XALO AJUNTAMENT",38267.68,A_escoles_no_formals
2024,P0307100H,"26.489,95 GORGOS GATA GORGOS GATA AJUNTAMENT",26489.95,A_escoles_no_formals
2024,P0304000C,"45.020,05 BENIMELI BENIMELI AYUNTAMIENTO",45020.05,A_escoles_no_formals
2024,P0314100I,"47.315,52 MONTESINOS, MONTESINOS AYUNTAMIENTO",47315.52,A_escoles_no_formals
2024,P0311600A,"24.139,81 SALINAS SALINAS AYUNTAMIENTO",24139.81,A_escoles_no_formals
2024,P0309700C,"41.831,38 ORBA D'ORBA AJUNTAMENT",41831.38,A_escoles_no_formals
2024,P0304200I,"67.163,93 BENIT NOU POBLE BENITATXELL NOU POBLE AYUNTAMIENTO",67163.93,A_escoles_no_formals
2024,P0304100A,"101.203,54 BENISSA BENISSA AYUNTAMIENTO",101203.54,A_escoles_no_formals
2024,P0310100C,"89.246,98 PEDREGUER PEDREGUER AJUNTAMENT",89246.98,A_escoles_no_formals
2024,Q1200347A,"109.347,95 BORRIANA RUBERT PASCUAL VICIAN MARTI RAFEL ARTS CENTRE",109347.95,A_escoles_no_formals
2024,P1200016B,"57.943,42 MORELLA PATRONATO",57943.42,A_escoles_no_formals
2024,P1201000E,"9.136,23 ALMEDIJAR ALMEDIJAR AYUNTAMIENTO",9136.23,A_escoles_no_formals
2024,P1200010E,"68.440,62 SONEJA PALANCIA ALTO DEL COMARCAL PALANCIA ALTO DEL INTERMUNICIPAL MANCOMUNIDAD",68440.62,A_escoles_no_formals
2024,P4604200H,"39.007,82 MALFERIT AIELO MALFERIT D'AIELO AJUNTAMENT",39007.82,A_escoles_no_formals
2024,P4616600E,"39.451,53 MASSAMAGRELL MASSAMAGRELL AYUNTAMIENTO",39451.53,A_escoles_no_formals
2024,G97499198,"16.611,22 ADEMUZ ADEMUZ ADEMUZ MUSICAL SOCIEDAD",16611.22,A_escoles_no_formals
2024,G46168530,"17.456,04 ADOR CECILIA SANTA MUSICAL AGRUPACIO",17456.04,A_escoles_no_formals
2024,G03984846,"15.128,68 AGOST PAU VERGE AGOST PAU VERGE",15128.68,A_escoles_no_formals
2024,G03980810,"23.283,91 AGOST CECILIA SANTA AGOST CECILIA SANTA",23283.91,A_escoles_no_formals
2024,G46354486,"15.667,86 AGULLENT SIRVENT AMORÓS AMANCIO D'AGULLENT MUSICAL AGRUPACIO",15667.86,A_escoles_no_formals
2024,G03067550,"13.952,88 ALACANT CAROLINAS S.C.D. EDUCANDOS CAROLINAS DEPORTIVA CULTURAL SOCIEDAD",13952.88,A_escoles_no_formals
2024,G54038773,"27.423,83 ALACANT L'HARMONIA ALACANT MUSICAL SOCIETAT L'HARMONIA",27423.83,A_escoles_no_formals
2024,G03176724,"22.144,93 ALACANT GALÁN SEGURA RAFAEL GALAN SEGURA RAFAEL",22144.93,A_escoles_no_formals
2024,G03744588,"65.976,44 ALACANT ASÍS U.M.CIUD. CARCAGENTE P.A. ASIS CIUDAD MUSICAL UNION",65976.44,A_escoles_no_formals
2024,G46274056,"30.148,22 ALAQUAS MEDINA MESTRE D'ALAQUAS MUSICAL UNIO",30148.22,A_escoles_no_formals
2024,G98459431,"35.832,08 ALBAIDA D'ALBAIDA CAPO",35832.08,A_escoles_no_formals
2024,G96106935,"11.288,43 ALBAL VEUS CORAL VEUS CORAL",11288.43,A_escoles_no_formals
2024,G46172268,"29.310,04 ALBAL ALBAL MUSICAL JUVENTUD ALBAL MUSICAL JUVENTUD",29310.04,A_escoles_no_formals
2024,G96928643,"21.905,45 RIBERA ALBALAT RIBERA D'ALBALAT",21905.45,A_escoles_no_formals
2024,G46416525,"17.402,50 SORELLS DELS ALBALAT SORELLS DELS ALBALAT MUSICAL UNIO",17402.5,A_escoles_no_formals
2024,G03701877,"7.834,68 ALBATERA ALBATERA APÓSTOL SANTIAGO MUS. APOSTOL SANTIAGO MUSICAL ASOCIACION",7834.68,A_escoles_no_formals
2024,G03984721,"29.187,21 ALBATERA AURORA ALBATER AURORA ASOCIACION",29187.21,A_escoles_no_formals
2024,G46177804,"26.349,13 ALBERIC MUSICAL UNIÓN BANDA ALBERIC MUSICAL UNIO SOCIETAT",26349.13,A_escoles_no_formals
2024,G12035804,"14.342,20 ALBOCASSER ALBOCASSER CECILIA SANTA MUSICAL ASOCIACION",14342.2,A_escoles_no_formals
