any,cif,nom,quantia,tipus_subvencio
2022,P0304000C,03014332,48199.46,A_escoles_no_formals
2022,P0304100A,03011446,84622.91,A_escoles_no_formals
2022,P03042001,03017151,74141.81,A_escoles_no_formals
2022,P0307100H,03014319,41886.06,A_escoles_no_formals
2022,P03141001,03014198,62309.47,A_escoles_no_formals
2022,P0308100G,03017175,38863.76,A_escoles_no_formals
2022,P1201000E,12005854,12616.67,A_escoles_no_formals
2022,Q1200347A,12004813,100183.04,A_escoles_no_formals
2022,P1200016B,12005829,41935.14,A_escoles_no_formals
2022,P1200010E,12005337,73487.87,A_escoles_no_formals
2022,P4604200H,46018606,35910.88,A_escoles_no_formals
2022,P46150001,46031994,19827.6,A_escoles_no_formals
2022,P4616600E,46020996,51593.19,A_escoles_no_formals
2022,G97499198,46029434,20635.63,A_escoles_no_formals
2022,G46168530,46020561,20822.67,A_escoles_no_formals
2022,G03984846,03014071,20774.45,A_escoles_no_formals
2022,G03980810,03013959,21794.7,A_escoles_no_formals
2022,G46354486,46020571,16405.27,A_escoles_no_formals
2022,G98459431,46021459,35908.02,A_escoles_no_formals
2022,G46172268,46021241,13670.86,A_escoles_no_formals
2022,G96106935,46023687,11734.77,A_escoles_no_formals
2022,G96928643,46023699,25265.22,A_escoles_no_formals
2022,G46416525,46036906,6245.02,A_escoles_no_formals
2022,G03701877,03018155,5917.5,A_escoles_no_formals
2022,G03984721,03014022,34837.2,A_escoles_no_formals
2022,G46177804,46032834,16221.81,A_escoles_no_formals
2022,G12035804,12005982,23469.03,A_escoles_no_formals
2022,G97032205,46025271,6848.81,A_escoles_no_formals
2022,G46117016,46022737,102338.25,A_escoles_no_formals
2022,V46171724,46036670,21105.9,A_escoles_no_formals
2022,G12212874,12005313,13626.81,A_escoles_no_formals
2022,G96370135,46020881,20647.99,A_escoles_no_formals
2022,G12246724,12005994,33993.88,A_escoles_no_formals
2022,G03125234,03016493,34786.83,A_escoles_no_formals
2022,G46172508,46036581,16829.53,A_escoles_no_formals
2022,G46176459,46021174,13318.03,A_escoles_no_formals
2022,G46065561,46031064,21587.33,A_escoles_no_formals
2022,G96618103,46025283,19800.89,A_escoles_no_formals
2022,G46880654,46020871,21990.85,A_escoles_no_formals
2022,G46190740,46026858,23954.15,A_escoles_no_formals
2022,G03102522,03013935,17414.0,A_escoles_no_formals
2022,G46352480,46020583,5393.67,A_escoles_no_formals
2022,G98392350,46035768,37736.69,A_escoles_no_formals
2022,G46146759,46026214,78223.92,A_escoles_no_formals
2022,G97024343,46024576,21782.0,A_escoles_no_formals
2022,G46173746,46034511,42847.05,A_escoles_no_formals
2022,G03703543,03018179,8394.26,A_escoles_no_formals
2022,G03521218,03016021,3283.44,A_escoles_no_formals
2022,G03744588,03014952,83649.29,A_escoles_no_formals
2022,G54038773,03020551,35991.52,A_escoles_no_formals
2022,G03176724,03020605,20077.02,A_escoles_no_formals
2022,G03067550,03017539,18934.03,A_escoles_no_formals
2022,G98167570,46032858,21432.65,A_escoles_no_formals
2022,V46065348,46023705,19230.67,A_escoles_no_formals
2022,G12039392,12006007,78021.05,A_escoles_no_formals
2022,G12205936,12007127,30802.11,A_escoles_no_formals
2022,G46937306,46020972,15582.22,A_escoles_no_formals
2022,G03103462,03014964,45510.45,A_escoles_no_formals
2022,G96820386,46036207,24221.22,A_escoles_no_formals
2022,G97019186,46024588,13906.13,A_escoles_no_formals
2022,G12491643,12007048,36136.93,A_escoles_no_formals
2022,G03100609,03017916,80853.48,A_escoles_no_formals
2022,G12036166,12006366,31734.67,A_escoles_no_formals
2022,G46094736,46018825,15619.46,A_escoles_no_formals
2022,V46172540,46022749,21716.48,A_escoles_no_formals
2022,G96470695,46021472,5749.71,A_escoles_no_formals
2022,G12035762,12008478,9532.34,A_escoles_no_formals
2022,G03230935,03014435,39512.04,A_escoles_no_formals
2022,G54767744,03021646,24118.5,A_escoles_no_formals
2022,G54356746,03020708,9765.72,A_escoles_no_formals
2022,G12214565,12006101,11259.9,A_escoles_no_formals
2022,G46175022,46020376,21331.05,A_escoles_no_formals
2022,G46352688,46023717,26270.32,A_escoles_no_formals
2022,G46185724,46036876,9709.96,A_escoles_no_formals
2022,G46172524,46023729,17558.71,A_escoles_no_formals
2022,G46084679,46035616,24269.5,A_escoles_no_formals
2022,G96420146,46021484,17357.76,A_escoles_no_formals
2022,V12292652,12008211,10417.84,A_escoles_no_formals
2022,G46202396,46029483,15851.61,A_escoles_no_formals
2022,G03181278,03016031,5910.96,A_escoles_no_formals
2022,G46703039,46021198,23870.01,A_escoles_no_formals
2022,G12796892,12005805,10360.3,A_escoles_no_formals
2022,G53848313,03017141,9885.39,A_escoles_no_formals
2022,G53217980,03015695,5911.82,A_escoles_no_formals
2022,G03084977,03013984,32818.4,A_escoles_no_formals
2022,G54388285,03019883,48333.53,A_escoles_no_formals
2022,G46065678,46034521,17723.74,A_escoles_no_formals
2022,G98523418,46036013,32907.26,A_escoles_no_formals
2022,G46171849,46023730,19608.14,A_escoles_no_formals
2022,G46172896,46024591,13068.54,A_escoles_no_formals
2022,G46152450,46021733,12483.59,A_escoles_no_formals
2022,G46394128,46032846,12335.29,A_escoles_no_formals
2022,G96589031,46022026,50986.33,A_escoles_no_formals
2022,G46173118,46024606,58637.56,A_escoles_no_formals
2022,G12231551,12005465,15511.28,A_escoles_no_formals
2022,G03157294,03017527,24047.81,A_escoles_no_formals
2022,G03436367,03018911,36604.38,A_escoles_no_formals
